시군구코드,시도,시군구,행정구역명,행정동 (행정기관명),법정동,행정구역분류,행정기관코드,행정기관 생성일,법정동코드,법정동 관할구역 분할여부,행정동 영문명칭,비고
11110,서울특별시,종로구,종로구,종로구,종로구,11010,1111000000,19880423,1111000000,,Jongno-gu,
11140,서울특별시,중구,중구,중구,중구,11020,1114000000,19880423,1114000000,,Jung-gu,
11170,서울특별시,용산구,용산구,용산구,용산구,11030,1117000000,19880423,1117000000,,Yongsan-gu,
11200,서울특별시,성동구,성동구,성동구,성동구,11040,1120000000,19880423,1120000000,,Seongdong-gu,
11215,서울특별시,광진구,광진구,광진구,광진구,11050,1121500000,19950301,1121500000,,Gwangjin-gu,
11230,서울특별시,동대문구,동대문구,동대문구,동대문구,11060,1123000000,19880423,1123000000,,Dongdaemun-gu,
11260,서울특별시,중랑구,중랑구,중랑구,중랑구,11070,1126000000,19880423,1126000000,,Jungnang-gu,
11290,서울특별시,성북구,성북구,성북구,성북구,11080,1129000000,19880423,1129000000,,Seongbuk-gu,
11305,서울특별시,강북구,강북구,강북구,강북구,11090,1130500000,19950301,1130500000,,Gangbuk-gu,
11320,서울특별시,도봉구,도봉구,도봉구,도봉구,11100,1132000000,19880423,1132000000,,Dobong-gu,
11350,서울특별시,노원구,노원구,노원구,노원구,11110,1135000000,19880423,1135000000,,Nowon-gu,
11380,서울특별시,은평구,은평구,은평구,은평구,11120,1138000000,19880423,1138000000,,Eunpyeong-gu,
11410,서울특별시,서대문구,서대문구,서대문구,서대문구,11130,1141000000,19880423,1141000000,,Seodaemun-gu,
11440,서울특별시,마포구,마포구,마포구,마포구,11140,1144000000,19880423,1144000000,,Mapo-gu,
11470,서울특별시,양천구,양천구,양천구,양천구,11150,1147000000,19880423,1147000000,,Yangcheon-gu,
11500,서울특별시,강서구,강서구,강서구,강서구,11160,1150000000,19880423,1150000000,,Gangseo-gu,
11530,서울특별시,구로구,구로구,구로구,구로구,11170,1153000000,19880423,1153000000,,Guro-gu,
11545,서울특별시,금천구,금천구,금천구,금천구,11180,1154500000,19950301,1154500000,,Geumcheon-gu,
11560,서울특별시,영등포구,영등포구,영등포구,영등포구,11190,1156000000,19880423,1156000000,,Yeongdeungpo-gu,
11590,서울특별시,동작구,동작구,동작구,동작구,11200,1159000000,19880423,1159000000,,Dongjak-gu,
11620,서울특별시,관악구,관악구,관악구,관악구,11210,1162000000,19880423,1162000000,,Gwanak-gu,
11650,서울특별시,서초구,서초구,서초구,서초구,11220,1165000000,19880423,1165000000,,Seocho-gu,
11680,서울특별시,강남구,강남구,강남구,강남구,11230,1168000000,19880423,1168000000,,Gangnam-gu,
11710,서울특별시,송파구,송파구,송파구,송파구,11240,1171000000,19880423,1171000000,,Songpa-gu,
11740,서울특별시,강동구,강동구,강동구,강동구,11250,1174000000,19880423,1174000000,,Gangdong-gu,
26110,부산광역시,중구,중구,중구,중구,21010,2611000000,19950101,2611000000,,Jung-gu,
26140,부산광역시,서구,서구,서구,서구,21020,2614000000,19950101,2614000000,,Seo-gu,
26170,부산광역시,동구,동구,동구,동구,21030,2617000000,19950101,2617000000,,Dong-gu,
26200,부산광역시,영도구,영도구,영도구,영도구,21040,2620000000,19950101,2620000000,,Yeongdo-gu,
26230,부산광역시,부산진구,부산진구,부산진구,부산진구,21050,2623000000,19950101,2623000000,,Busanjin-gu,
26260,부산광역시,동래구,동래구,동래구,동래구,21060,2626000000,19950101,2626000000,,Dongnae-gu,
26290,부산광역시,남구,남구,남구,남구,21070,2629000000,19950101,2629000000,,Nam-gu,
26320,부산광역시,북구,북구,북구,북구,21080,2632000000,19950101,2632000000,,Buk-gu,
26350,부산광역시,해운대구,해운대구,해운대구,해운대구,21090,2635000000,19950101,2635000000,,Haeundae-gu,
26380,부산광역시,사하구,사하구,사하구,사하구,21100,2638000000,19950101,2638000000,,Saha-gu,
26410,부산광역시,금정구,금정구,금정구,금정구,21110,2641000000,19950101,2641000000,,Geumjeong-gu,
26440,부산광역시,강서구,강서구,강서구,강서구,21120,2644000000,19950101,2644000000,,Gangseo-gu,
26470,부산광역시,연제구,연제구,연제구,연제구,21130,2647000000,19950301,2647000000,,Yeonje-gu,
26500,부산광역시,수영구,수영구,수영구,수영구,21140,2650000000,19950301,2650000000,,Suyeong-gu,
26530,부산광역시,사상구,사상구,사상구,사상구,21150,2653000000,19950301,2653000000,,Sasang-gu,
26710,부산광역시,기장군,기장군,기장군,기장군,21510,2671000000,19950301,2671000000,,Gijang-gun,
27110,대구광역시,중구,중구,중구,중구,22010,2711000000,19950101,2711000000,,Jung-gu,
27140,대구광역시,동구,동구,동구,동구,22020,2714000000,19950101,2714000000,,Dong-gu,
27170,대구광역시,서구,서구,서구,서구,22030,2717000000,19950101,2717000000,,Seo-gu,
27200,대구광역시,남구,남구,남구,남구,22040,2720000000,19950101,2720000000,,Nam-gu,
