시도코드,시도,시군구,행정구역명,행정동 (행정기관명),법정동,행정구역분류,행정기관코드,행정기관 생성일,법정동코드,법정동 관할구역 분할여부,행정동 영문명칭,비고
11,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,11,1100000000,19880423,1100000000,,Seoul,
26,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,21,2600000000,19950101,2600000000,,Busan,
27,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,22,2700000000,19950101,2700000000,,Daegu,
28,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,23,2800000000,19950101,2800000000,,Incheon,
29,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,24,2900000000,19950101,2900000000,,Gwangju,
30,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,25,3000000000,19950101,3000000000,,Daejeon,
31,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,26,3100000000,19970715,3100000000,,Ulsan,
36,세종특별자치시,세종특별자치시,세종특별자치시,세종특별자치시,세종특별자치시,29,3600000000,20120701,3600000000,,Sejong-si,
41,경기도,경기도,경기도,경기도,경기도,31,4100000000,19880423,4100000000,,Gyeonggi-do,
51,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,32,5100000000,20230611,5100000000,,Gangwon-do,강원특별자치도 출범으로 명칭변경(강원도→강원특별자치도)(230611)
43,충청북도,충청북도,충청북도,충청북도,충청북도,33,4300000000,19880423,4300000000,,Chungcheongbuk-do,
44,충청남도,충청남도,충청남도,충청남도,충청남도,34,4400000000,19880423,4400000000,,Chungcheongnam-do,
52,전북특별자치도,전북특별자치도,전북특별자치도,전북특별자치도,전북특별자치도,35,5200000000,20240118,5200000000,,Jeonbuk-do,전북특별자치도 출범으로 명칭변경(전라북도→전북특별자치도)(240118)
46,전라남도,전라남도,전라남도,전라남도,전라남도,36,4600000000,19880423,4600000000,,Jeollanam-do,
47,경상북도,경상북도,경상북도,경상북도,경상북도,37,4700000000,19880423,4700000000,,Gyeongsangbuk-do,
48,경상남도,경상남도,경상남도,경상남도,경상남도,38,4800000000,19880423,4800000000,,Gyeongsangnam-do,
50,제주특별자치도,제주특별자치도,제주특별자치도,제주특별자치도,제주특별자치도,39,5000000000,20060701,5000000000,,Jeju-do,
