시군구코드,시군구명,폐지여부
11000,서울특별시,존재
11110,서울특별시 종로구,존재
11140,서울특별시 중구,존재
11170,서울특별시 용산구,존재
11200,서울특별시 성동구,존재
11215,서울특별시 광진구,존재
11230,서울특별시 동대문구,존재
11260,서울특별시 중랑구,존재
11290,서울특별시 성북구,존재
11305,서울특별시 강북구,존재
11320,서울특별시 도봉구,존재
11350,서울특별시 노원구,존재
11380,서울특별시 은평구,존재
11410,서울특별시 서대문구,존재
11440,서울특별시 마포구,존재
11470,서울특별시 양천구,존재
11500,서울특별시 강서구,존재
11530,서울특별시 구로구,존재
11545,서울특별시 금천구,존재
11560,서울특별시 영등포구,존재
11590,서울특별시 동작구,존재
11620,서울특별시 관악구,존재
11650,서울특별시 서초구,존재
11680,서울특별시 강남구,존재
11710,서울특별시 송파구,존재
11740,서울특별시 강동구,존재
21000,부산직할시,폐지
21110,부산직할시 중구,폐지
21140,부산직할시 서구,폐지
21170,부산직할시 동구,폐지
21200,부산직할시 영도구,폐지
21230,부산직할시 부산진구,폐지
21260,부산직할시 동래구,폐지
21290,부산직할시 남구,폐지
21320,부산직할시 북구,폐지
21350,부산직할시 해운대구,폐지
21380,부산직할시 사하구,폐지
21410,부산직할시 금정구,폐지
21440,부산직할시 강서구,폐지
22000,대구직할시,폐지
22110,대구직할시 중구,폐지
22140,대구직할시 동구,폐지
22170,대구직할시 서구,폐지
22200,대구직할시 남구,폐지
22230,대구직할시 북구,폐지
22260,대구직할시 수성구,폐지
22290,대구직할시 달서구,폐지
23000,인천직할시,폐지
23110,인천직할시 중구,폐지
23140,인천직할시 동구,폐지
23170,인천직할시 남구,폐지
23200,인천직할시 남동구,폐지
23230,인천직할시 북구,폐지
23260,인천직할시 서구,폐지
24000,광주직할시,폐지
24110,광주직할시 동구,폐지
24140,광주직할시 서구,폐지
24170,광주직할시 북구,폐지
24200,광주직할시 광산구,폐지
25000,대전직할시,폐지
25110,대전직할시 동구,폐지
25140,대전직할시 중구,폐지
25170,대전직할시 서구,폐지
25200,대전직할시 유성구,폐지
25230,대전직할시 대덕구,폐지
26000,부산광역시,존재
26110,부산광역시 중구,존재
26140,부산광역시 서구,존재
26170,부산광역시 동구,존재
26200,부산광역시 영도구,존재
26230,부산광역시 부산진구,존재
26260,부산광역시 동래구,존재
26290,부산광역시 남구,존재
26320,부산광역시 북구,존재
26350,부산광역시 해운대구,존재
26380,부산광역시 사하구,존재
26410,부산광역시 금정구,존재
26440,부산광역시 강서구,존재
26470,부산광역시 연제구,존재
26500,부산광역시 수영구,존재
26530,부산광역시 사상구,존재
26710,부산광역시 기장군,존재
27000,대구광역시,존재
27110,대구광역시 중구,존재
27140,대구광역시 동구,존재
27170,대구광역시 서구,존재
27200,대구광역시 남구,존재
27230,대구광역시 북구,존재
27260,대구광역시 수성구,존재
27290,대구광역시 달서구,존재
27710,대구광역시 달성군,존재
27720,대구광역시 군위군,존재
28000,인천광역시,존재
