구조_코드,재조달구조코드,재조달구조명
,C00,기타
',C00,기타
`,C00,기타
01,C00,기타
10,C02,벽돌조
11,C02,벽돌조
12,C04,블록조
13,C02,벽돌조
14,C06,철골조
17,C05,철근콘크리트조
19,C02,벽돌조
20,C05,콘크리트구조
21,C05,철근콘크리트조
22,C05,철근콘크리트조
23,C06,철골조
24,C00,기타
26,C05,철근콘크리트조
27,C02,벽돌조
29,C05,철근콘크리트조
30,C06,철골조
31,C06,철골조
32,C06,철골조
33,C06,철골조
34,C02,벽돌조
35,C02,벽돌조
36,C02,벽돌조
37,C06,철골조
39,C06,철골조
40,C07,철골철근콘크리트조
41,C07,철골철근콘크리트조
42,C07,철골철근콘크리트조
43,C06,철골조
49,C07,철골철근콘크리트조
50,C01,목조
51,C01,목조
52,C01,목조
53,C01,목조
60,C04,블록조
61,C04,블록조
63,C08,조립식구조
70,C08,조립식구조
72,C02,벽돌조
74,C08,조립식구조
80,C00,기타
81,C00,기타
90,C00,기타
99,C00,기타
