재조달용도코드,재조달용도명,재조달구조코드,재조달구조명,재조달원가 단가(원/㎡; 중앙값),내구연한(중앙값)
A01B01,일반주택,C01,목조,1269000,40
A01B01,일반주택,C02,벽돌조,1446000,45
A01B01,일반주택,C03,치장벽돌조,1553500,45
A01B01,일반주택,C04,블록조,1120000,40
A01B01,일반주택,C05,철근콘크리트조,1521500,50
A01B01,일반주택,C06,철골조,2131000,40
A01B02,고급주택,C01,목조,4223500,40
A01B02,고급주택,C05,철근콘크리트조,3229000,50
A01B03,통나무주택,C01,목조,2661000,40
A01B04,스틸하우스,C06,철골조,2512500,35
A01B05,다가구주택,C05,철근콘크리트조,1738500,50
A01B06,조립식주택,C08,조립식구조,830500,35
A01B07,농촌주택,C01,목조,657000,40
A01B07,농촌주택,C02,벽돌조,1047000,45
A01B07,농촌주택,C04,블록조,953000,40
A02B01,아파트,C05,철근콘크리트조,1806000,50
A02B02,연립주택,C05,철근콘크리트조,2082000,50
A02B03,다세대주택,C05,철근콘크리트조,1548000,50
A02B04,도시형생활주택,C05,철근콘크리트조,1542000,50
A02B05,기숙사,C05,철근콘크리트조,1247000,50
A02B06,테라스하우스,C05,철근콘크리트조,1721500,50
A02B07,모듈러 주택,C05,철근콘크리트조,1984000,50
A03B01,점포 및 상가,C01,목조,1345500,40
A03B01,점포 및 상가,C02,벽돌조,1326000,45
A03B01,점포 및 상가,C04,블록조,1090000,45
A03B01,점포 및 상가,C05,철근콘크리트조,1362000,50
A03B01,점포 및 상가,C06,철골조,1509000,40
A03B02,일반목욕탕,C02,벽돌조,1562000,40
A03B02,일반목욕탕,C05,철근콘크리트조,1732000,45
A03B03,대중목욕탕,C05,철근콘크리트조,2386000,45
A04B01,사무실(15층이하),C02,벽돌조,1136000,50
A04B01,사무실(15층이하),C03,치장벽돌조,1285000,50
A04B01,사무실(15층이하),C05,철근콘크리트조,1448500,55
A04B01,사무실(15층이하),C06,철골조,710500,35
A04B02,사무실(16층이상),C05,철근콘크리트조,1743000,55
A04B02,사무실(16층이상),C07,철골철근콘크리트조,2076000,55
A04B03,지식산업센터,C05,철근콘크리트조,1531000,45
