층_주_용도_코드,층_주_용도_코드_명,재조달용도명,재조달용도코드
01000,단독주택,일반주택,A01B01
01001,단독주택,일반주택,A01B01
01002,다중주택,일반주택,A01B01
01003,다가구주택,다가구주택,A01B05
01004,공관,공공청사,A04B04
02000,공동주택,보류!!!!!!!!!!,A02B01
02001,아파트,아파트,A02B01
02002,연립주택,연립주택,A02B02
02003,다세대주택,다세대주택,A02B03
02004,생활편익시설,점포 및 상가,A03B01
02005,부대시설,일반창고,A05B04
02006,복리시설,복지관,A17B01
02007,기숙사,기숙사,A02B05
02101,일반기숙사,기숙사,A02B05
02102,임대형기숙사,기숙사,A02B05
03000,제1종근린생활시설,점포 및 상가,A03B01
03001,소매점,점포 및 상가,A03B01
03002,휴게음식점,점포 및 상가,A03B01
03003,이(미)용원,점포 및 상가,A03B01
03004,일반목욕장,일반목욕탕,A03B02
03005,의원,점포 및 상가,A03B01
03006,체육장,체육관,A09B03
03007,마을공동시설,공공청사,A04B04
03008,변전소,점포 및 상가,A03B01
03009,양수장,축사,A18B01
03010,정수장,일반공장,A05B01
03011,대피소,체육관,A09B03
03012,공중화장실,일반창고,A05B04
03013,세탁소,점포 및 상가,A03B01
03014,치과의원,점포 및 상가,A03B01
03015,한의원,점포 및 상가,A03B01
03016,침술원,점포 및 상가,A03B01
03017,접골원,점포 및 상가,A03B01
03018,조산소,점포 및 상가,A03B01
03019,탁구장,체육관,A09B03
03020,체육도장,점포 및 상가,A03B01
03021,마을회관,공공청사,A04B04
03022,마을공동작업소,일반창고,A05B04
03023,마을공동구판장,일반창고,A05B04
03024,지역아동센터,복지관,A17B01
03025,목욕장,일반목욕탕,A03B02
03026,이용원,점포 및 상가,A03B01
03027,미용원,점포 및 상가,A03B01
03028,조산원,점포 및 상가,A03B01
03029,제과점,점포 및 상가,A03B01
03030,수퍼마켓,점포 및 상가,A03B01
03031,안마원,점포 및 상가,A03B01
03032,산후조리원,점포 및 상가,A03B01
03033,가스배관시설,위험물 저장창고,A14B03
03034,도시가스배관시설,주유소,A14B01
03035,통신용 시설,점포 및 상가,A03B01
03036,동물병원,점포 및 상가,A03B01
03037,동물미용실,점포 및 상가,A03B01
03038,동물위탁시설,동물보호소,A18B02
03100,공공시설,공공청사,A04B04
03101,동사무소,공공청사,A04B04
03102,경찰서,공공청사,A04B04
03103,파출소,공공청사,A04B04
03104,소방서,공공청사,A04B04
03105,우체국,공공청사,A04B04
03106,전신전화국,공공청사,A04B04
03107,방송국,공공청사,A04B04
03108,보건소,병원,A10B01
03109,공공도서관,공공청사,A04B04
03110,지역의료보험조합,사무실(15층이하),A04B01
03112,지역자치센터,공공청사,A04B04
03113,지구대,공공청사,A04B04
03114,지역건강보험조합,사무실(15층이하),A04B01
03115,건강보험공단사무소,사무실(15층이하),A04B01
03199,기타공공시설,공공청사,A04B04
03201,금융업소,점포 및 상가,A03B01
03202,사무소,사무실(15층이하),A04B01
03203,부동산중개사무소,점포 및 상가,A03B01
03204,결혼상담소,점포 및 상가,A03B01
03205,출판사,사무실(15층이하),A04B01
03299,기타사무소,사무실(15층이하),A04B01
03300,전기자동차충전소,주유소 캐노피,A14B02
03301,,#NAME?,A14B02
03999,기타제1종근린생활시설,점포 및 상가,A03B01
04000,제2종근린생활시설,점포 및 상가,A03B01
04001,일반음식점,점포 및 상가,A03B01
04002,휴게음식점,점포 및 상가,A03B01
04003,기원,점포 및 상가,A03B01
04004,서점(1종근.생미해당),점포 및 상가,A03B01
04005,제조업소,일반공장,A05B01
04006,수리점,점포 및 상가,A03B01
04007,게임제공업소,점포 및 상가,A03B01
04008,사진관,점포 및 상가,A03B01
04009,표구점,점포 및 상가,A03B01
04010,학원,점포 및 상가,A03B01
04011,장의사,점포 및 상가,A03B01
04012,동물병원,점포 및 상가,A03B01
04013,어린이집,어린이집,A17B02
04014,독서실,점포 및 상가,A03B01
04015,총포판매소,점포 및 상가,A03B01
04016,단란주점,점포 및 상가,A03B01
04017,의약품도매점,점포 및 상가,A03B01
04018,자동차영업소,점포 및 상가,A03B01
04019,안마시술소,점포 및 상가,A03B01
04020,노래연습장,점포 및 상가,A03B01
04021,세탁소,점포 및 상가,A03B01
04022,멀티미디어문화컨텐츠설비제공업소,점포 및 상가,A03B01
04023,복합유통.제공업소,물류창고(물류센터),A05B07
04024,직업훈련소,점포 및 상가,A03B01
04025,인터넷컴퓨터게임시설제공업소,점포 및 상가,A03B01
04026,청소년게임제공업소,점포 및 상가,A03B01
04027,복합유통게임제공업소,점포 및 상가,A03B01
04030,의약품판매소,점포 및 상가,A03B01
04031,의료기기판매소,점포 및 상가,A03B01
04032,총포판매사,점포 및 상가,A03B01
04033,소개업소,점포 및 상가,A03B01
04034,안마원,점포 및 상가,A03B01
04035,고시원,기숙사,A02B05
04036,제과점,점포 및 상가,A03B01
04037,인터넷컴퓨터게임시설제공업의시설,점포 및 상가,A03B01
04038,청소년게임제공업의시설,점포 및 상가,A03B01
