규모_구분,연도,허가착공_기간,착공준공_기간,허가준공_기간
1백㎡ 미만,2015,10,124,143
1백㎡ 미만,2016,11,138,159
1백㎡ 미만,2017,17,141,168
1백㎡ 미만,2018,21,152,189
1백㎡ 미만,2019,21,151,191
1백㎡ 미만,2020,21,148,186
1백㎡ 미만,2021,21,153,189
1백㎡ 미만,2022,23,167,207
1백㎡ 미만,2023,29,194,247
1백㎡ 미만,2024,29,185,238
1백㎡~3백㎡,2015,14,161,191
1백㎡~3백㎡,2016,15,176,207
1백㎡~3백㎡,2017,23,193,230
1백㎡~3백㎡,2018,30,196,248
1백㎡~3백㎡,2019,30,194,257
1백㎡~3백㎡,2020,30,189,249
1백㎡~3백㎡,2021,32,195,247
1백㎡~3백㎡,2022,39,215,282
1백㎡~3백㎡,2023,49,248,334
1백㎡~3백㎡,2024,46,233,330
3백㎡~1천㎡,2015,16,170,200
3백㎡~1천㎡,2016,21,185,216
3백㎡~1천㎡,2017,25,201,239
3백㎡~1천㎡,2018,38,205,253
3백㎡~1천㎡,2019,54,204,281
3백㎡~1천㎡,2020,49,198,283
3백㎡~1천㎡,2021,57,207,281
3백㎡~1천㎡,2022,66,233,318
3백㎡~1천㎡,2023,83,260,369
3백㎡~1천㎡,2024,81,255,399
1천~3천㎡,2015,28,213,263
1천~3천㎡,2016,37,231,278
1천~3천㎡,2017,43,249,314
1천~3천㎡,2018,48,247,317
1천~3천㎡,2019,58,249,336
1천~3천㎡,2020,59,250,349
1천~3천㎡,2021,67,261,358
1천~3천㎡,2022,87,302,413
1천~3천㎡,2023,115,347,484
1천~3천㎡,2024,105,339,535
3천~1만㎡,2015,36,305,359
3천~1만㎡,2016,51,329,383
3천~1만㎡,2017,56,351,426
3천~1만㎡,2018,64,375,459
3천~1만㎡,2019,82,371,469
3천~1만㎡,2020,80,382,504
3천~1만㎡,2021,85,400,531
3천~1만㎡,2022,113,437,544
3천~1만㎡,2023,137,504,650
3천~1만㎡,2024,127,550,745
1만㎡ 이상,2015,55,698,852
1만㎡ 이상,2016,76,701,823
1만㎡ 이상,2017,79,749,860
1만㎡ 이상,2018,112,804,908
1만㎡ 이상,2019,134,813,925
1만㎡ 이상,2020,144,822,968
1만㎡ 이상,2021,147,849,1013
1만㎡ 이상,2022,156,838,1019
1만㎡ 이상,2023,78,847,1015
1만㎡ 이상,2024,113,924,1052
