시도_코드,연도,허가착공_기간,착공준공_기간,허가준공_기간
11,2015,17,159,183
11,2016,27,184,214
11,2017,29,205,239
11,2018,49,218,273
11,2019,63,222,294
11,2020,67,230,322
11,2021,82,239,322
11,2022,109,267,370
11,2023,146,333,486
11,2024,127,421,617
26,2015,24,160,195
26,2016,28,176,216
26,2017,38,194,247
26,2018,55,208,283
26,2019,58,211,309
26,2020,41,193,255
26,2021,51,187,241
26,2022,66,211,290
26,2023,71,250,357
26,2024,68,240,384
27,2015,15,162,188
27,2016,17,169,195
27,2017,21,174,205
27,2018,28,176,212
27,2019,35,172,226
27,2020,36,169,233
27,2021,37,185,233
27,2022,42,207,266
27,2023,48,227,305
27,2024,47,208,278
28,2015,15,169,201
28,2016,18,194,223
28,2017,29,220,267
28,2018,36,219,279
28,2019,35,215,287
28,2020,35,231,300
28,2021,36,224,286
28,2022,42,254,326
28,2023,48,308,394
28,2024,42,284,426
29,2015,14,147,170
29,2016,18,163,187
29,2017,21,170,206
29,2018,29,182,215
29,2019,40,186,245
29,2020,35,174,223
29,2021,41,196,246
29,2022,48,212,280
29,2023,47,231,310
29,2024,50,215,288
30,2015,8,146,166
30,2016,11,154,170
30,2017,18,167,194
30,2018,25,169,201
30,2019,48,168,240
30,2020,31,159,216
30,2021,40,177,224
30,2022,39,206,266
30,2023,55,223,300
30,2024,53,217,312
31,2015,15,176,201
31,2016,14,183,206
31,2017,20,193,223
31,2018,29,203,248
31,2019,34,207,281
31,2020,31,180,243
31,2021,32,175,216
31,2022,38,204,262
31,2023,50,245,318
31,2024,46,224,295
36,2015,51,222,283
36,2016,40,245,311
36,2017,31,224,280
36,2018,35,227,300
36,2019,58,216,312
36,2020,61,240,341
36,2021,58,220,283
36,2022,70,252,345
36,2023,122,288,429
36,2024,110,326,624
41,2015,22,182,223
41,2016,25,198,239
41,2017,33,221,270
41,2018,44,227,292
41,2019,57,227,319
41,2020,53,224,324
41,2021,52,220,301
41,2022,64,243,336
41,2023,89,283,399
41,2024,105,280,441
42,2020,310,,
42,2023,,968,1278
43,2015,14,162,194
43,2016,15,177,206
43,2017,22,189,228
43,2018,34,193,244
43,2019,41,190,268
43,2020,32,182,256
43,2021,36,201,265
43,2022,39,217,298
43,2023,56,239,330
43,2024,50,231,330
44,2015,12,163,190
44,2016,14,176,203
44,2017,20,187,219
44,2018,30,192,242
44,2019,29,189,255
44,2020,29,188,252
44,2021,33,190,246
44,2022,36,207,274
44,2023,48,242,324
44,2024,46,223,320
45,2021,85,,
45,2024,,816,901
46,2015,9,132,153
46,2016,10,143,166
46,2017,17,153,181
46,2018,20,153,189
46,2019,21,153,197
46,2020,23,161,204
46,2021,25,170,213
46,2022,27,187,240
46,2023,31,211,271
46,2024,28,198,260
47,2015,12,148,171
47,2016,13,160,185
47,2017,17,157,187
47,2018,22,162,200
47,2019,22,160,203
47,2020,23,159,203
47,2021,23,164,205
47,2022,26,175,223
47,2023,27,195,249
47,2024,28,183,241
48,2015,14,160,187
48,2016,13,168,194
48,2017,19,174,206
48,2018,24,177,217
48,2019,26,177,230
48,2020,25,167,217
48,2021,27,170,217
48,2022,29,190,238
48,2023,30,218,285
48,2024,35,202,263
50,2015,20,208,232
50,2016,31,256,294
50,2017,43,287,340
50,2018,52,286,356
50,2019,63,265,337
50,2020,48,258,320
50,2021,46,231,295
50,2022,51,272,332
50,2023,77,311,387
50,2024,69,311,425
51,2015,10,157,178
51,2016,10,177,202
51,2017,15,191,220
51,2018,21,190,232
51,2019,22,195,254
51,2020,21,189,239
51,2021,23,199,244
51,2022,25,216,267
51,2023,28,235,302
51,2024,32,238,306
52,2015,8,135,155
52,2016,9,145,165
52,2017,14,147,170
52,2018,18,160,191
52,2019,19,155,193
52,2020,19,152,193
52,2021,20,159,198
52,2022,23,175,223
52,2023,28,196,253
52,2024,28,192,250
