용도_대분류_코드,연도,허가착공_기간,착공준공_기간,허가준공_기간
01,2015,12,168,189
01,2016,13,182,204
01,2017,20,195,225
01,2018,29,204,248
01,2019,30,205,269
01,2020,28,199,258
01,2021,29,204,252
01,2022,31,226,285
01,2023,35,260,331
01,2024,33,245,314
02,2015,20,183,212
02,2016,31,210,243
02,2017,39,244,296
02,2018,54,267,338
02,2019,63,258,346
02,2020,57,240,331
02,2021,68,246,326
02,2022,85,272,358
02,2023,94,346,469
02,2024,119,581,747
03,2015,20,151,188
03,2016,22,167,203
03,2017,29,177,222
03,2018,38,181,236
03,2019,44,183,259
03,2020,42,179,250
03,2021,47,180,247
03,2022,57,202,283
03,2023,83,247,362
03,2024,80,235,366
04,2015,18,145,178
04,2016,20,160,195
04,2017,27,172,213
04,2018,34,177,230
04,2019,40,175,243
04,2020,39,168,234
04,2021,42,174,235
04,2022,50,192,266
04,2023,62,216,313
04,2024,61,212,320
05,2015,51,329,556
05,2016,73,418,538
05,2017,55,408,567
05,2018,86,406,542
05,2019,81,561,669
05,2020,97,423,643
05,2021,125,480,588
05,2022,153,531,678
05,2023,168,543,776
05,2024,144,542,733
06,2015,57,419,496
06,2016,58,436,539
06,2017,69,406,495
06,2018,70,444,545
06,2019,62,426,546
06,2020,87,419,512
06,2021,93,439,561
06,2022,108,486,613
06,2023,110,464,619
06,2024,123,515,649
07,2015,48,294,391
07,2016,39,261,385
07,2017,42,311,367
07,2018,48,199,279
07,2019,57,196,249
07,2020,47,193,239
07,2021,53,185,284
07,2022,101,213,253
07,2023,93,355,502
07,2024,73,276,418
08,2015,91,533,1597
08,2016,80,430,614
08,2017,190,784,894
08,2018,74,624,778
08,2019,108,202,440
08,2020,89,309,504
08,2021,119,332,472
08,2022,83,335,564
08,2023,208,364,656
08,2024,175,717,812
09,2015,63,393,451
09,2016,56,419,512
09,2017,77,396,469
09,2018,70,469,587
09,2019,95,521,600
09,2020,84,465,590
09,2021,119,537,669
09,2022,125,539,658
09,2023,151,594,679
09,2024,201,695,842
10,2015,54,306,417
10,2016,51,302,433
10,2017,66,331,447
10,2018,70,340,445
10,2019,79,334,476
10,2020,84,403,506
10,2021,84,318,459
10,2022,113,406,525
10,2023,144,440,594
10,2024,120,508,748
11,2015,38,165,214
11,2016,42,169,229
11,2017,47,182,240
