시도_코드,시도_명,동수,연면적
11,서울특별시,557144,607147814.1258
26,부산광역시,319801,260376076.20871
27,대구광역시,263763,190638545.1197
28,인천광역시,211870,239018261.22995
29,광주광역시,128543,112129247.4645
30,대전광역시,129699,115873121.04485
31,울산광역시,133725,96724836.19845
36,세종특별자치시,37249,37319171.5583
41,경기도,1233334,1159354680.7844
43,충청북도,407303,169376138.36925
44,충청남도,556365,232787318.76615
46,전라남도,670675,189743472.02937
47,경상북도,842304,269970777.45807
48,경상남도,740131,299601386.27992
50,제주특별자치도,186903,57052381.18276
51,강원특별자치도,383058,141497007.79727
52,전북특별자치도,489480,177976882.81805
