시도_코드,시도_명,재조달원가,잔존재조달원가
00,전국,6466289925694434.0,3893523348409434.0
11,서울특별시,957706101919927.0,529384696569825.0
26,부산광역시,396573330005209.0,225536848014227.0
27,대구광역시,294151686434071.0,171939541472371.0
28,인천광역시,365906968886130.0,233480547401751.0
29,광주광역시,175926984523552.0,105049525071876.0
30,대전광역시,180820711799097.0,102352845604310.0
31,울산광역시,143265775830994.0,83045632638091.0
36,세종특별자치시,56954331106166.0,44586505968103.0
41,경기도,1725973462006376.0,1123725284923368.0
43,충청북도,239446008994986.0,142781974731415.0
44,충청남도,321368598589251.0,200504180538375.0
46,전라남도,256837392417759.0,146051143694472.0
47,경상북도,372869755223448.0,209993567560538.0
48,경상남도,432143180795133.0,253670341681191.0
50,제주특별자치도,86645938862266.0,55206368146611.0
51,강원특별자치도,212674272961901.0,127380590888349.0
52,전북특별자치도,247025425338168.0,138833753504561.0
