준공년도,데이터_건수,층_면적_합계,재조달원가_합계,잔존재조달원가_합계
0,1398730,65997450.7,81500060278406.0,8150006027358.0
1900,2281,72619.3,89550185125.0,8955018510.0
1901,2483,83529.6,100059300552.0,10005930048.0
1902,615,20494.9,25613075738.0,2561307573.0
1903,587,20522.8,25746154689.0,2574615470.0
1904,939,30046.3,36510294317.0,3651029428.0
1905,2500,85635.4,104861838183.0,10486183813.0
1906,556,18964.4,23901837001.0,2390183697.0
1907,521,17303.2,20744593820.0,2074459383.0
1908,524,18634.6,24293691242.0,2429369125.0
1909,451,16897.0,22463597840.0,2246359783.0
1910,4891,160901.6,199662624974.0,19966262497.0
1911,804,42075.1,55749953929.0,5574995394.0
1912,1005,40373.3,51355131175.0,5135513121.0
1913,556,21198.4,26908791100.0,2690879113.0
1914,1307,42356.5,50778388917.0,5077838887.0
1915,4176,141785.4,173705841509.0,17370584147.0
1916,1001,33716.9,41337206257.0,4133720621.0
1917,781,25888.2,31787435117.0,3178743513.0
1918,884,30714.1,38547221613.0,3854722156.0
1919,934,34519.0,42598946375.0,4259894635.0
1920,9107,309036.8,381196198002.0,38119619792.0
1921,1849,62238.0,78262856729.0,7826285665.0
1922,975,37641.8,47668477625.0,4766847761.0
1923,1606,56121.0,70627056665.0,7062705665.0
1924,3063,102562.6,126489254505.0,12648925450.0
1925,14931,509057.9,620791338502.0,62079133838.0
1926,3747,152004.4,194775725052.0,19477572500.0
1927,2702,95028.3,115913193348.0,11591319334.0
1928,2250,78692.6,98708298458.0,9870829847.0
1929,2197,82275.7,103434438682.0,10343443869.0
1930,15936,573220.2,725649528640.0,72564952859.0
1931,3217,115906.1,143801529433.0,14380152944.0
1932,4360,162073.0,203043197941.0,20304319784.0
1933,3191,131559.8,167025442686.0,16702544258.0
1934,6285,233000.2,286083202303.0,28608320223.0
1935,23347,894393.1,1100527737324.0,110052773707.0
1936,10812,391111.7,483239121112.0,48323912105.0
1937,5593,232612.4,301600235909.0,30160023588.0
1938,5735,213897.4,268170404142.0,26817040425.0
1939,5105,197617.6,243110487738.0,24311048778.0
1940,26515,921989.0,1128398723863.0,112839872360.0
1941,7651,270417.5,337795585361.0,33779558534.0
1942,7105,276157.5,343043808207.0,34304380812.0
1943,8109,299354.9,364772171191.0,36477217100.0
1944,7311,255961.4,314501320612.0,31450132050.0
1945,31506,1099698.1,1338175786352.0,133817578614.0
1946,13167,447418.3,542275042881.0,54227504276.0
1947,8838,305543.1,374477766437.0,37447776640.0
1948,12545,419176.5,510682584911.0,51068258497.0
1949,13308,482490.8,598806738134.0,59880673778.0
1950,28702,1008880.3,1226845627840.0,122684562769.0
1951,9981,341582.7,415393601802.0,41539360177.0
1952,11095,393365.1,487431783069.0,48743178287.0
1953,10203,387140.5,479289295010.0,47928929484.0
1954,16368,618505.9,775824917554.0,77582491761.0
1955,26404,1016588.2,1268728041812.0,126872804161.0
1956,18399,779379.5,991770725325.0,99177072511.0
1957,12707,626615.0,823253769331.0,82325376926.0
1958,13978,604843.0,769057063188.0,76905706300.0
1959,14714,743584.0,966948629411.0,96694862926.0
1960,36699,1656891.6,2087305046680.0,208730504632.0
1961,18078,1100427.9,1458973076818.0,145897307665.0
1962,26586,1522517.5,1998796523389.0,199879652335.0
1963,12962,924629.6,1216044923260.0,121604492307.0
1964,14947,958130.9,1269312730743.0,126931273086.0
1965,27636,1538927.5,1971145371859.0,197114537182.0
1966,20049,1403444.1,1880880576988.0,188088057685.0
1967,26412,1998105.8,2705091614639.0,270509161466.0
1968,35212,2907902.5,3941782525984.0,394178252591.0
1969,38510,3286792.0,4476612080107.0,447661208028.0
1970,62771,5357273.0,7322562628606.0,732256262867.0
1971,60194,5778469.5,8165501298234.0,816550129736.0
1972,51134,4041553.6,5497068740678.0,549706874078.0
1973,71376,5750715.2,7728210951610.0,772821095140.0
1974,94897,7588626.5,10244818282408.0,1024481828193.0
1975,93081,7613806.0,10462744016753.0,1058206902141.0
1976,102292,8883449.1,12325832170779.0,1265697409735.0
1977,124917,10388885.7,14284770864121.0,1504577847263.0
1978,163380,15140704.2,21783137303490.0,2292078458176.0
1979,165085,17844418.1,26003625685802.0,2825900378090.0
1980,171857,19284316.0,28055406150144.0,3387229030336.0
1981,141367,17198406.9,25119397074871.0,3420226236521.0
1982,147433,16756317.2,24776724986619.0,3602220657301.0
1983,234955,25027180.0,37367180792448.0,5743144190365.0
1984,221500,28581837.2,43039331274991.0,7669989276260.0
1985,271146,31251632.9,46737610955851.0,9030375521929.0
1986,209291,31833606.5,48932931925291.0,10581778329171.0
1987,216616,32020845.5,48313051497125.0,11205383027912.0
1988,304567,46094115.5,70406711972796.0,17669824447915.0
1989,336085,51333510.9,78555533957829.0,21355260819527.0
1990,387102,59419433.6,91854899086481.0,26895131437859.0
1991,464095,76733872.4,118778391114416.0,37251154627784.0
