층_주_용도_코드,층_주_용도_코드_명
01000,단독주택
01001,단독주택
01002,다중주택
01003,다가구주택
01004,공관
01101,
02000,공동주택
02001,아파트
02002,연립주택
02003,다세대주택
02004,생활편익시설
02005,부대시설
02006,복리시설
02007,기숙사
02101,일반기숙사
02102,임대형기숙사
03000,제1종근린생활시설
03001,소매점
03002,휴게음식점
03003,이(미)용원
03004,일반목욕장
03005,의원
03006,체육장
03007,마을공동시설
03008,변전소
03009,양수장
03010,정수장
03011,대피소
03012,공중화장실
03013,세탁소
03014,치과의원
03015,한의원
03016,침술원
03017,접골원
03018,조산소
03019,탁구장
03020,체육도장
03021,마을회관
03022,마을공동작업소
03023,마을공동구판장
03024,지역아동센터
03025,목욕장
03026,이용원
03027,미용원
03028,조산원
03029,제과점
03030,수퍼마켓
03031,안마원
03032,산후조리원
03033,가스배관시설
03034,도시가스배관시설
03035,통신용 시설
03036,동물병원
03037,동물미용실
03038,동물위탁시설
03100,공공시설
03101,동사무소
03102,경찰서
03103,파출소
03104,소방서
03105,우체국
03106,전신전화국
03107,방송국
03108,보건소
03109,공공도서관
03110,지역의료보험조합
03112,지역자치센터
03113,지구대
03114,지역건강보험조합
03115,건강보험공단사무소
03199,기타공공시설
03201,금융업소
03202,사무소
03203,부동산중개사무소
03204,결혼상담소
03205,출판사
03299,기타사무소
03300,전기자동차충전소
03301,
0399,
03999,기타제1종근린생활시설
04000,제2종근린생활시설
04001,일반음식점
04002,휴게음식점
04003,기원
04004,서점(1종근.생미해당)
04005,제조업소
04006,수리점
04007,게임제공업소
04008,사진관
04009,표구점
04010,학원
04011,장의사
04012,동물병원
04013,어린이집
04014,독서실
04015,총포판매소
04016,단란주점
04017,의약품도매점
04018,자동차영업소
04019,안마시술소
04020,노래연습장
04021,세탁소
04022,멀티미디어문화컨텐츠설비제공업소
04023,복합유통.제공업소
04024,직업훈련소
04025,인터넷컴퓨터게임시설제공업소
04026,청소년게임제공업소
04027,복합유통게임제공업소
04030,의약품판매소
04031,의료기기판매소
04032,총포판매사
04033,소개업소
04034,안마원
04035,고시원
04036,제과점
04037,인터넷컴퓨터게임시설제공업의시설
04038,청소년게임제공업의시설
04039,복합유통게임제공업의시설
04040,교습소
04041,동물미용실
04042,총포판매소
04043,다중생활시설
04044,인터넷컴퓨터게임시설제공업소
04045,청소년게임제공업소
04046,복합유통게임제공업소
04047,기타게임시설
04048,가상현실체험제공업소
04049,동물위탁시설
04050,주문배송시설
04100,운동시설
04101,테니스장
04102,체력단련장
04103,에어로빅장
04104,볼링장
04105,당구장
04106,실내낚시터
04107,골프연습장
04108,물놀이형시설
04109,놀이형시설
04199,기타운동시설
04200,종교집회장
04201,교회
04202,성당
04203,사찰
04204,기도원
04205,수도원
04206,수녀원
04207,제실
04208,사당
04299,기타종교집회장
04300,공연장
04301,극장(영화관)
04302,음악당
04303,연예장
04304,비디오물감상실
04305,비디오물소극장
04306,극장
04307,영화관
04308,서커스장
04399,기타공연장
04400,사무소
04401,금융업소
04402,사무소
04403,부동산중개업소
04404,결혼상담소
04405,출판사
04406,부동산중개사무소
04499,기타사무소
04999,기타제2종근린생활시설
05000,문화및집회시설
05100,공연장
05101,극장(영화관)
05102,음악당
05103,연예장
05104,서커스장
05105,비디오물감상실
05106,비디오물소극장
05107,극장
05108,영화관
05199,기타공연장
05200,집회장
05201,예식장
05202,회의장
05203,공회당
05204,마권장외발매소
05205,마권전화투표소
05299,기타집회장
05300,관람장
05301,경마장
05302,자동차경기장
05303,체육관
05304,운동장
05305,경륜장
05306,경정장
05399,기타관람장
05400,전시장
05401,박물관
05402,미술관
05403,과학관
05404,기념관
05405,산업전시장
05406,박람회장
05407,문화관
05408,체험관
05499,기타전시장
05500,"동,식물원"
05501,동물원
05502,식물원
05503,수족관
05599,"기타동,식물원"
05999,기타문화및집회시설
06000,종교시설
06100,종교집회장
06101,교회
06102,성당
06103,사찰
06104,기도원
06105,수도원
06106,수녀원
06107,제실
06108,사당
06109,납골당(제2종근생 제외)
06110,봉안당
06199,기타종교집회장
06999,기타종교시설
07000,판매시설
07001,도매시장
07100,소매시장
07101,시장
07102,백화점
07103,대형백화점
07104,대형점
07105,쇼핑센터
07199,기타소매시장
07201,상점(소매점)
07202,게임제공업소
07203,멀티미디어문화컨텐츠설비제공업소
07204,복합유통.제공업소
07205,인터넷컴퓨터게임시설제공업소
07206,청소년게임제공업소
07207,복합유통게임제공업소
07208,일반게임제공의시설
07209,청소년게임제공업의시설
07210,복합유통게임제공업의시설
07211,인터넷컴퓨터게임시설제공업의시설
07212,일반게임제공업의시설
07301,농수산물도매시장
07302,농수산물공판장
07399,기타도매시장
07999,기타판매시설
08001,여객자동차터미널
08002,화물터미널
08003,철도역사
08004,공항시설
08005,항만시설(터미널)
08006,종합여객시설
08007,철도시설
08008,항만시설
08999,기타운수시설
09000,의료시설
09100,병원
09101,종합병원
09102,산부인과병원
09103,치과병원
09104,한방병원
09105,정신병원
09106,격리병원
09107,병원
09108,요양소
09109,요양병원
09199,기타병원
09201,전염병원
09299,기타격리병원
09301,장례식장
09999,기타의료시설
10000,교육연구시설
10001,교육(연수)원
10002,직업훈련소
10003,학원
10004,연구소
10005,도서관
10100,학교
10101,초등학교
10102,중학교
10103,고등학교
10104,대학교
10105,전문대학
10106,대학
10107,유치원
10199,기타학교
10201,교육원
10202,연수원
10204,
10299,기타교육원
10301,연구소
10302,시험소
10303,계측계량소
10399,기타연구소
10401,학원
10402,교습소
10999,기타교육연구시설
11000,노유자시설
11100,아동관련시설
11101,유치원
11102,영유아보육시설
11103,어린이집
11104,아동복지시설
11199,기타아동관련시설
11201,노인복지시설
11202,사회복지시설
11203,근로복지시설
11999,기타노유자시설
12000,수련시설
12001,유스호스텔
12100,생활권수련시설
12101,청소년수련원(관)
12102,유스호스텔
12103,청소년문화의집
12104,청소년특화시설
12105,청소년수련관
12199,기타생활권수련시설
12200,자연권수련시설
12201,청소년수련원(관)
12202,청소년야영장
12203,청소년수련원
12299,기타자연권수련시설
12301,관리동
12302,화장실
12303,샤워실
12304,대피소
12305,취사시설
12399,기타야영장시설
12999,기타수련시설
13000,운동시설
13001,체육관
13002,운동장시설
13003,탁구장
13004,체육도장
13005,테니스장
13006,체력단련장
13007,에어로빅장
13008,볼링장
13009,당구장
13010,실내낚시터
13011,골프연습장
13012,물놀이형시설
13014,놀이형시설
13100,운동장
13101,육상장
13102,구기장
13103,볼링장
13104,수영장
13105,스케이트장
13106,롤러스케이트장
13107,승마장
13108,사격장
13109,궁도장
13110,골프장
13999,기타 운동시설
14000,업무시설
14001,
14100,공공업무시설
14101,국가기관청사
14102,자치단체청사
14103,외국공관
14199,기타공공업무시설
14200,일반업무시설
14201,금융업소
14202,오피스텔
14203,신문사
14204,사무소
14206,출판사
14299,기타일반업무시설
14999,
15000,숙박시설
15001,고시원
15002,생활숙박시설
15003,다중생활시설
15100,일반숙박시설
15101,호텔
15102,여관
15103,여인숙
15104,일반숙박시설
15199,기타일반숙박시설
15200,관광숙박시설
15201,관광호텔
15203,한국전통호텔
15204,가족호텔
15205,휴양콘도미니엄
15206,호스텔
15207,소형호텔
15208,의료관광호텔
15299,기타관광숙박시설
15999,기타숙박시설
16000,위락시설
16001,단란주점
16002,유흥주점
16003,특수목욕장
16004,유기장
16005,투전기업소
16006,무도장(학원)
16007,주점영업
16008,카지노업소
16009,유원시설업의시설
16010,무도장
16011,무도학원
16012,카지노영업소
16999,기타위락시설
17000,공장
17100,일반공장
17200,유해공장
17301,물품 제조공장
17302,물품 가공공장
17303,물품 염색공장
17304,물품 도장공장
17305,물품 표백공장
17306,물품 재봉공장
17307,물품 건조공장
17308,물품 인쇄공장
17309,물품 수리공장
17999,기타공장
18000,창고시설
18001,창고
18002,하역장
18003,물류터미널
18004,집배송시설
18101,일반창고
18102,냉장창고
18103,냉동창고
18999,기타창고시설
19000,위험물저장및처리시설
19001,주유소
19002,액화석유가스충전소
19003,위험물제조소
19004,위험물저장소
19005,액화가스취급소
19006,액화가스판매소
19007,유독물보관저장시설
19008,고압가스충전저장소
19009,석유판매소
19010,위험물취급소
19011,액화석유가스판매소
19012,액화석유가스저장소
19013,유독물보관소
19014,유독물저장소
19015,유독물판매시설
19016,고압가스충전소
19017,고압가스판매소
19018,고압가스저장소
19019,도료류판매소
19020,도시가스공급시설
19021,화약류저장소
19022,도시가스제조시설
19999,기타위험물저장처리시설
20000,자동차관련시설
20001,주차장
20002,세차장
20003,폐차장
20004,검사장
20005,매매장
20006,정비공장
20007,운전학원
20008,정비학원
20009,차고
20010,주기장
20011,전기자동차충전소
20999,기타자동차관련시설
21000,동물및식물관련시설
21001,도축장
21002,도계장
21003,버섯재배사
21004,종묘배양시설
21005,온실
21006,작물재배사
21100,축사
21101,축사
21102,양잠
21103,양봉
21104,양어시설
21105,부화장
21106,양돈
21107,양계
21108,곤충사육
21200,가축시설
21201,가축용운동시설
21202,인공수정센터
21203,관리사
21204,가축용창고
21205,가축시장
21206,동물검역소
21207,실험동물사육시설
21299,기타가축시설
21999,기타동식물관련시설
22000,분뇨.쓰레기처리시설
22001,분뇨처리시설
22002,폐기물처리시설
22003,폐기물재활용시설
22004,고물상
22005,폐기물처리시설및폐기물감량화시설
22999,기타분뇨쓰레기처리시설
23000,교정및군사시설
23002,군사시설
23003,국방ㆍ군사시설
23005,갱생보호소
23006,소년원
23007,소년분류심사원
23102,소년원
23201,보호감호소
23202,구치소
23203,교도소
23999,기타교정및군사시설
24000,방송통신시설
24001,방송국
24002,전신전화국
24003,촬영소
24004,통신용시설
24005,데이터센터
24101,방송국
24102,방송프로그램제작시설
24103,송신시설
24104,수신시설
24105,중계시설
24999,기타방송통신시설
25001,발전소
25999,기타발전시설
26000,묘지관련시설
26001,화장장
26002,납골당
26003,묘지에 부수되는 건축물
26004,봉안당
26005,화장시설
26006,자연장지에 부수되는 건축물
26101,동물화장시설
26102,동물건조장시설
26103,동물전용의납골시설
26999,기타묘지관련시설
27000,관광휴게시설
27001,야외음악당
27002,야외극장
27003,어린이회관
27004,관망탑
27005,휴게소
27006,관광지시설
27007,공원에 부수되는 시설
27008,유원지에 부수되는 시설
27009,관광지에 부수되는 시설
27999,기타관광휴게시설
28005,견본주택
28006,가설점포
28007,경비용가설건축물
28009,임시사무실
28010,임시창고
28011,임시숙소
28012,"농,어업용비닐하우스"
28013,가축용가설건축물
28014,"농,어업용고정식온실"
28999,기타가설건축물
29001,장례식장
29002,동물전용의장례식장
30001,하수등처리시설
30002,고물상
30003,폐기물재활용시설
30004,폐기물처분시설
30005,폐기물감량화시설
30999,기타자원순환관련시설
31001,관리동
31002,화장실
31003,샤워실
31004,대피소
31005,취사시설
31999,기타야영장시설
32003,갱생보호소
32101,보호감호소
32102,구치소
32103,교도소
32999,기타교정시설
33001,"국방,군사시설"
33999,"기타국방,군사시설"
3999,
76.38,
98318,
Z3000,근린생활시설
Z3001,소매점
Z3002,휴게음식점
Z3003,이(미)용원
Z3004,일반목욕장
Z3005,의원
Z3007,마을공동시설
Z3008,변전소
Z3009,양수장
Z3010,정수장
Z3011,대피소
Z3012,공중화장실
Z3014,치과의원
Z3015,한의원
Z3017,접골원
Z3018,조산소
Z3019,탁구장
Z3020,체육도장
Z3021,마을공회당
Z3022,마을공동작업소
Z3023,마을공동구판장
Z3100,공공시설
Z3101,동사무소
Z3103,파출소
Z3104,소방서
Z3105,우체국
Z3106,전신전화국
Z3107,방송국
Z3108,보건소
Z3199,기타공공시설
Z3201,일반음식점
Z3202,휴게음식점
Z3203,기원
Z3205,제조업소
Z3206,수리점
Z3207,게임제공업소
Z3208,사진관
Z3209,표구점
Z3210,학원
Z3212,동물병원
Z3214,독서실
Z3216,단란주점
Z3217,의약품도매점
Z3219,안마시술소
Z3220,노래연습장
Z3221,세탁소
Z3300,운동시설
Z3302,체력단련장
Z3304,볼링장
Z3305,당구장
Z3307,골프연습장
Z3399,기타운동시설
Z3400,종교집회장
Z3401,교회
Z3402,성당
Z3403,사찰
